               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.6146,              1.0428,              1.6539,             0.66393,             0.63804,             0.65241,             0.37817,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.5917,              1.0359,              1.6395,             0.65239,             0.64575,             0.64797,             0.38653,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.5784,              1.0167,              1.6172,             0.63679,             0.65257,              0.6574,             0.38975,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.5627,              1.0036,               1.614,             0.63946,             0.65456,             0.65506,             0.38765,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.5451,             0.99123,              1.6069,             0.65341,             0.67155,             0.65483,             0.38478,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.5492,             0.98963,              1.5893,               0.648,             0.63495,              0.6478,             0.38566,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.5294,              0.9819,              1.5859,             0.61376,             0.65357,             0.65081,             0.39321,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.5166,              0.9695,              1.5869,             0.64216,              0.6634,             0.64838,             0.38167,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.5458,             0.98282,              1.6027,             0.65007,             0.64674,             0.65609,             0.39837,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.5073,             0.97259,              1.5627,             0.65241,             0.66261,             0.66389,             0.39676,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.5113,             0.98434,              1.5711,             0.61307,             0.64564,             0.66127,             0.39575,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.5107,             0.96065,              1.5817,             0.67293,             0.66025,             0.66572,             0.39982,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.4848,             0.94334,              1.5767,             0.67738,             0.64783,             0.66684,              0.4044,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.4797,             0.93894,              1.5575,             0.65115,             0.64352,             0.65669,             0.39408,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.4625,             0.93317,              1.5529,             0.63482,             0.67721,             0.67159,             0.40741,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.4655,             0.93543,              1.5457,             0.67416,             0.67786,             0.66142,             0.40407,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.4732,             0.92804,              1.5422,             0.67648,             0.66178,             0.67759,             0.41392,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.4506,             0.91227,              1.5356,             0.68141,             0.67027,             0.67576,             0.40836,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.4458,             0.91089,              1.5281,             0.67108,               0.664,             0.67438,             0.41046,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,               1.454,             0.91938,              1.5321,             0.66282,             0.66769,             0.66463,             0.40385,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.4439,             0.91625,              1.5273,             0.67879,             0.67065,             0.67696,             0.41449,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.4218,             0.90593,              1.5231,             0.67249,              0.6818,             0.68039,             0.41598,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.4139,             0.89958,              1.5234,             0.66567,             0.66959,             0.67657,             0.41431,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,               1.411,              0.8897,              1.5147,             0.65543,             0.67536,             0.66947,             0.41364,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,               1.398,              0.8884,              1.5168,             0.68192,             0.65723,             0.67861,             0.42085,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.4042,             0.88399,               1.506,             0.66778,             0.67612,             0.68246,             0.41934,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,               1.412,             0.87703,               1.501,             0.68193,             0.67399,             0.68403,             0.42008,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.3831,              0.8644,              1.4929,             0.66861,             0.68568,             0.67193,             0.41224,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,                1.38,             0.87102,              1.5068,             0.66209,              0.6723,             0.68493,             0.42213,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.3721,             0.86648,              1.4768,             0.68199,             0.67836,              0.6889,             0.42539,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.3894,             0.88146,              1.5055,             0.67676,             0.67971,             0.68877,             0.42053,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.3614,             0.85009,              1.4827,             0.68158,             0.67495,             0.68399,              0.4218,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.3778,             0.85805,              1.4959,             0.67279,             0.67106,             0.68534,             0.42469,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.3583,             0.85896,              1.4766,             0.66345,             0.69761,             0.68618,             0.42424,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.3633,             0.85048,              1.4666,             0.68309,             0.66427,             0.67583,              0.4184,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.3651,             0.85296,              1.5021,               0.693,             0.65813,             0.68224,             0.42104,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.3386,               0.839,                1.46,             0.67713,             0.67929,             0.68551,              0.4217,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.3485,             0.84055,              1.4652,             0.68635,               0.673,             0.68463,             0.42521,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.3152,             0.83551,               1.458,             0.68303,             0.68405,             0.68761,             0.42517,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.3131,              0.8317,              1.4585,             0.68404,             0.66665,             0.68976,             0.42747,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
